"obs_id" "Zt" "vtime"
"283" 24 0.215008120452352 0.7
"285" 24 0.18994667910975 0.9
"288" 24 0.152354517095847 1.2
"289" 25 -0.403271930913452 0.1
"291" 25 -0.473939039366396 0.3
"293" 25 -0.54460614781934 0.5
"295" 25 -0.615273256272284 0.7
"296" 25 -0.650606810498756 0.8
"298" 25 -0.7212739189517 1
"301" 26 -0.124118728778213 0.1
"302" 26 -0.161391134976007 0.2
"303" 26 -0.198663541173802 0.3
"304" 26 -0.235935947371596 0.4
"305" 26 -0.27320835356939 0.5
"306" 26 -0.310480759767184 0.6
"308" 26 -0.385025572162772 0.8
"309" 26 -0.422297978360566 0.9
"311" 26 -0.496842790756154 1.1
"313" 27 -0.0396624837347982 0.1
"315" 27 -0.0920510820951659 0.3
"319" 27 -0.196828278815901 0.7
"322" 27 -0.275411176356453 1
"325" 28 0.0544474222969758 0.1
"326" 28 0.0321977068415118 0.2
"327" 28 0.00994799138604778 0.3
"328" 28 -0.0123017240694162 0.4
"329" 28 -0.0345514395248802 0.5
"330" 28 -0.0568011549803442 0.6
"331" 28 -0.0790508704358082 0.7
"333" 28 -0.123550301346736 0.9
"334" 28 -0.1458000168022 1
"337" 29 0.113243866796076 0.1
"339" 29 0.0587190489589401 0.3
"340" 29 0.0314566400403719 0.4
"341" 29 0.00419423112180378 0.5
"342" 29 -0.0230681777967644 0.6
"343" 29 -0.0503305867153325 0.7
"344" 29 -0.0775929956339007 0.8
"345" 29 -0.104855404552469 0.9
"347" 29 -0.159380222389605 1.1
"348" 29 -0.186642631308173 1.2
"351" 30 -0.141646863105118 0.3
"352" 30 -0.162795658146809 0.4
"354" 30 -0.20509324823019 0.6
"355" 30 -0.226242043271881 0.7
"356" 30 -0.247390838313571 0.8
"357" 30 -0.268539633355262 0.9
"359" 30 -0.310837223438643 1.1
"361" 31 -0.259526358465336 0.1
"363" 31 -0.321505721922865 0.3
"366" 31 -0.414474767109158 0.6
"367" 31 -0.445464448837923 0.7
"368" 31 -0.476454130566687 0.8
"369" 31 -0.507443812295452 0.9
"370" 31 -0.538433494024216 1
"371" 31 -0.569423175752981 1.1
"372" 31 -0.600412857481745 1.2
"374" 32 -0.0999888534587945 0.2
"379" 32 -0.220599698965825 0.7
"381" 32 -0.268844037168637 0.9
"386" 33 0.43815639509363 0.2
"387" 33 0.43795951846856 0.3
"389" 33 0.437565765218419 0.5
"391" 33 0.437172011968278 0.7
"392" 33 0.436975135343207 0.8
"400" 34 -0.344125338249874 0.4
"401" 34 -0.373830505650928 0.5
"404" 34 -0.462946007854091 0.8
"406" 34 -0.522356342656199 1
"407" 34 -0.552061510057253 1.1
"410" 35 0.291872354759939 0.2
"411" 35 0.279194993651736 0.3
"412" 35 0.266517632543532 0.4
"414" 35 0.241162910327125 0.6
"421" 36 -0.0995708063080269 0.1
"424" 36 -0.206169009182789 0.4
"425" 36 -0.241701743474377 0.5
"429" 36 -0.383832680640727 0.9
"430" 36 -0.419365414932314 1
"432" 36 -0.490430883515489 1.2
"433" 37 -0.55064060739676 0.1
"434" 37 -0.592998460522141 0.2
"435" 37 -0.635356313647522 0.3
"436" 37 -0.677714166772903 0.4
"437" 37 -0.720072019898284 0.5
"439" 37 -0.804787726149046 0.7
"440" 37 -0.847145579274427 0.8
"447" 38 -0.224289714105462 0.3
"448" 38 -0.257104745155112 0.4
"450" 38 -0.322734807254412 0.6
"452" 38 -0.388364869353712 0.8
"454" 38 -0.453994931453012 1
"457" 39 0.0259696341655409 0.1
"459" 39 -0.0185344784237101 0.3
"460" 39 -0.0407865347183356 0.4
"461" 39 -0.0630385910129611 0.5
"462" 39 -0.0852906473075865 0.6
"463" 39 -0.107542703602212 0.7
"464" 39 -0.129794759896838 0.8
"466" 39 -0.174298872486088 1
"467" 39 -0.196550928780714 1.1
"469" 40 -0.286082931177705 0.1
"471" 40 -0.350597613457002 0.3
"472" 40 -0.382854954596651 0.4
"475" 40 -0.479626978015597 0.7
"476" 40 -0.511884319155245 0.8
"477" 40 -0.544141660294894 0.9
"479" 40 -0.608656342574191 1.1
"480" 40 -0.64091368371384 1.2
"482" 41 0.0888613111856198 0.2
"483" 41 0.0598053276310154 0.3
"484" 41 0.030749344076411 0.4
"485" 41 0.00169336052180658 0.5
"487" 41 -0.0564186065874022 0.7
"488" 41 -0.0854745901420067 0.8
"491" 41 -0.17264254080582 1.1
"493" 42 0.121117099131184 0.1
"494" 42 0.0942185441428923 0.2
"495" 42 0.0673199891546002 0.3
"498" 42 -0.0133756758102762 0.6
"499" 42 -0.0402742307985684 0.7
"500" 42 -0.0671727857868606 0.8
"504" 42 -0.174767005740029 1.2
"505" 43 0.126165236072088 0.1
"511" 43 0.0364111317688198 0.7
"512" 43 0.0214521143849417 0.8
"514" 43 -0.00846592038281438 1
"518" 44 0.137114778940289 0.2
"519" 44 0.118434559048825 0.3
"522" 44 0.0623938993744334 0.6
"524" 44 0.0250334595915056 0.8
"525" 44 0.00635323970004176 0.9
"526" 44 -0.0123269801914221 1
"530" 45 -0.056059268914228 0.2
"531" 45 -0.0813307396294428 0.3
"532" 45 -0.106602210344658 0.4
"534" 45 -0.157145151775087 0.6
"535" 45 -0.182416622490302 0.7
"536" 45 -0.207688093205517 0.8
"537" 45 -0.232959563920732 0.9
"538" 45 -0.258231034635946 1
"539" 45 -0.283502505351161 1.1
"540" 45 -0.308773976066376 1.2
"543" 46 -0.408909184998355 0.3
"544" 46 -0.445413729508149 0.4
"545" 46 -0.481918274017942 0.5
"548" 46 -0.591431907547323 0.8
"549" 46 -0.627936452057117 0.9
"553" 47 0.25609827061233 0.1
"556" 47 0.205636325282347 0.4
"565" 48 -0.169387845724636 0.1
"566" 48 -0.211715659189866 0.2
"569" 48 -0.338699099585556 0.5
"572" 48 -0.465682539981246 0.8
"574" 48 -0.550338166911706 1
"577" 49 -0.0599871690744753 0.1
"578" 49 -0.0936080065460136 0.2
"579" 49 -0.127228844017552 0.3
"580" 49 -0.16084968148909 0.4
"581" 49 -0.194470518960628 0.5
"586" 49 -0.36257470631832 1
"589" 50 -0.0249788092514068 0.1
"590" 50 -0.0521990849960723 0.2
"592" 50 -0.106639636485403 0.4
"593" 50 -0.133859912230069 0.5
"594" 50 -0.161080187974734 0.6
"596" 50 -0.215520739464065 0.8
"597" 50 -0.242741015208731 0.9
"598" 50 -0.269961290953396 1
"602" 51 0.0550348592030342 0.2
"603" 51 0.0338783146355749 0.3
"604" 51 0.0127217700681156 0.4
"607" 51 -0.0507478636342623 0.7
"608" 51 -0.0719044082017217 0.8
"611" 51 -0.1353740419041 1.1
"612" 51 -0.156530586471559 1.2
"614" 52 -0.311327355104513 0.2
"615" 52 -0.362661324731831 0.3
"616" 52 -0.41399529435915 0.4
"617" 52 -0.465329263986469 0.5
"622" 52 -0.721999112123063 1
"624" 52 -0.824667051377701 1.2
"627" 53 0.131330047798411 0.3
"628" 53 0.115634043398423 0.4
"629" 53 0.0999380389984353 0.5
"630" 53 0.0842420345984474 0.6
"633" 53 0.0371540213984838 0.9
"635" 53 0.00576201259850806 1.1
"637" 54 -0.25099550422205 0.1
"640" 54 -0.36975013220422 0.4
"642" 54 -0.448919884192334 0.6
"643" 54 -0.488504760186391 0.7
"644" 54 -0.528089636180448 0.8
"647" 54 -0.646844264162618 1.1
"648" 54 -0.686429140156675 1.2
"649" 55 -0.15632917751048 0.1
"651" 55 -0.213749750783896 0.3
"652" 55 -0.242460037420603 0.4
"654" 55 -0.299880610694019 0.6
"655" 55 -0.328590897330727 0.7
"657" 55 -0.386011470604142 0.9
"659" 55 -0.443432043877558 1.1
"661" 56 -0.0313012973134384 0.1
"662" 56 -0.0613440906507458 0.2
"666" 56 -0.181515263999975 0.6
"667" 56 -0.211558057337283 0.7
"668" 56 -0.24160085067459 0.8
"671" 56 -0.331729230686512 1.1
"672" 56 -0.36177202402382 1.2
"673" 57 -0.122203537445082 0.1
"674" 57 -0.140697429377587 0.2
"679" 57 -0.233166889040113 0.7
"682" 57 -0.288648564837628 1
"683" 57 -0.307142456770134 1.1
"684" 57 -0.325636348702639 1.2
"685" 58 -0.206846756707219 0.1
"686" 58 -0.242595633358713 0.2
"690" 58 -0.385591139964688 0.6
"692" 58 -0.457088893267675 0.8
"699" 59 -0.00631455102337811 0.3
"700" 59 -0.0282461911226238 0.4
"701" 59 -0.0501778312218694 0.5
"702" 59 -0.0721094713211151 0.6
"705" 59 -0.137904391618852 0.9
"707" 59 -0.181767671817343 1.1
"709" 60 0.0440543681847662 0.1
"712" 60 -0.0134891950769829 0.4
"714" 60 -0.0518515705848155 0.6
"715" 60 -0.0710327583387319 0.7
"716" 60 -0.0902139460926483 0.8
"717" 60 -0.109395133846565 0.9
"718" 60 -0.128576321600481 1
"719" 60 -0.147757509354397 1.1
"720" 60 -0.166938697108314 1.2
"721" 61 0.140609397006305 0.1
"722" 61 0.125420006490602 0.2
"723" 61 0.1102306159749 0.3
"725" 61 0.0798518349434947 0.5
"726" 61 0.0646624444277921 0.6
"727" 61 0.0494730539120896 0.7
"728" 61 0.034283663396387 0.8
"729" 61 0.0190942728806844 0.9
"731" 61 -0.0112845081507207 1.1
"732" 61 -0.0264738986664232 1.2
"733" 62 -0.379122239713532 0.1
"734" 62 -0.414786069566149 0.2
"735" 62 -0.450449899418767 0.3
"737" 62 -0.521777559124002 0.5
"739" 62 -0.593105218829237 0.7
"740" 62 -0.628769048681854 0.8
"741" 62 -0.664432878534472 0.9
"744" 62 -0.771424368092325 1.2
"745" 63 0.115957905253618 0.1
"746" 63 0.0980179927506382 0.2
"748" 63 0.0621381677446795 0.4
"751" 63 0.00831843023574136 0.7
"752" 63 -0.00962148226723802 0.8
"754" 63 -0.0455013072731968 1
"758" 64 -0.302498353200104 0.2
"763" 64 -0.47845024973808 0.7
"764" 64 -0.513640629045675 0.8
"765" 64 -0.54883100835327 0.9
"767" 64 -0.61921176696846 1.1
"769" 65 0.145432555118302 0.1
"770" 65 0.135422919504938 0.2
"771" 65 0.125413283891574 0.3
"774" 65 0.0953843770514806 0.6
"775" 65 0.0853747414381162 0.7
"781" 66 -0.0227391911702909 0.1
"784" 66 -0.087237929573722 0.4
"786" 66 -0.130237088509343 0.6
"790" 66 -0.216235406380584 1
"792" 66 -0.259234565316205 1.2
"793" 67 -0.19188547668343 0.1
"795" 67 -0.244048920607234 0.3
"796" 67 -0.270130642569136 0.4
"797" 67 -0.296212364531038 0.5
"799" 67 -0.348375808454842 0.7
"800" 67 -0.374457530416745 0.8
"802" 67 -0.426620974340549 1
"804" 67 -0.478784418264353 1.2
"806" 68 0.274130404747574 0.2
"807" 68 0.250759686312718 0.3
"808" 68 0.227388967877862 0.4
"809" 68 0.204018249443006 0.5
"810" 68 0.180647531008149 0.6
"812" 68 0.133906094138437 0.8
"818" 69 -0.439421163775517 0.2
"819" 69 -0.47889775567911 0.3
"820" 69 -0.518374347582703 0.4
"821" 69 -0.557850939486296 0.5
"823" 69 -0.636804123293481 0.7
"824" 69 -0.676280715197074 0.8
"825" 69 -0.715757307100667 0.9
"829" 70 -0.00734317319953338 0.1
"830" 70 -0.0323885469836625 0.2
"831" 70 -0.0574339207677916 0.3
"833" 70 -0.10752466833605 0.5
"834" 70 -0.132570042120179 0.6
"836" 70 -0.182660789688437 0.8
"837" 70 -0.207706163472566 0.9
"838" 70 -0.232751537256696 1
"839" 70 -0.257796911040825 1.1
"840" 70 -0.282842284824954 1.2
"842" 71 -0.53617758269892 0.2
"843" 71 -0.574196821387473 0.3
"844" 71 -0.612216060076025 0.4
"848" 71 -0.764293014830234 0.8
"854" 72 0.214615944019301 0.2
"857" 72 0.170545592722862 0.5
"858" 72 0.155855475624049 0.6
"860" 72 0.126475241426423 0.8
"865" 73 -0.104394910134199 0.1
"866" 73 -0.144990976016336 0.2
"868" 73 -0.226183107780608 0.4
"869" 73 -0.266779173662745 0.5
"870" 73 -0.307375239544881 0.6
"871" 73 -0.347971305427017 0.7
"875" 73 -0.510355568955563 1.1
"876" 73 -0.550951634837699 1.2
"878" 74 -0.0862284031388864 0.2
"880" 74 -0.144710607252658 0.4
"881" 74 -0.173951709309543 0.5
"882" 74 -0.203192811366429 0.6
"886" 74 -0.320157219593971 1
"890" 75 -0.0978292646578299 0.2
"891" 75 -0.133231519446491 0.3
"895" 75 -0.274840538601136 0.7
"896" 75 -0.310242793389797 0.8
"898" 75 -0.381047302967119 1
"900" 75 -0.451851812544442 1.2
"902" 76 0.173527973915929 0.2
"913" 77 -0.190102555360855 0.1
"916" 77 -0.281037488138341 0.4
"917" 77 -0.311349132397502 0.5
"918" 77 -0.341660776656664 0.6
"919" 77 -0.371972420915826 0.7
"921" 77 -0.432595709434149 0.9
"922" 77 -0.462907353693311 1
"923" 77 -0.493218997952473 1.1
"924" 77 -0.523530642211635 1.2
"925" 78 -0.134332580819795 0.1
"926" 78 -0.169326782799904 0.2
"927" 78 -0.204320984780013 0.3
"928" 78 -0.239315186760123 0.4
"934" 78 -0.449280398640778 1
"935" 78 -0.484274600620888 1.1
"936" 78 -0.519268802600997 1.2
"942" 79 -0.0948721894858048 0.6
"944" 79 -0.111175799310164 0.8
"945" 79 -0.119327604222343 0.9
"948" 79 -0.143783018958882 1.2
"950" 80 -0.0765578682825127 0.2
"953" 80 -0.184295052830571 0.5
"954" 80 -0.220207447679924 0.6
"956" 80 -0.29203223737863 0.8
"957" 80 -0.327944632227983 0.9
"962" 81 -0.0425157545862845 0.2
"963" 81 -0.0566791465582799 0.3
"964" 81 -0.0708425385302753 0.4
"965" 81 -0.0850059305022707 0.5
"966" 81 -0.0991693224742661 0.6
"967" 81 -0.113332714446262 0.7
"968" 81 -0.127496106418257 0.8
"969" 81 -0.141659498390252 0.9
"970" 81 -0.155822890362248 1
"975" 82 -0.174913836369901 0.3
"978" 82 -0.292660593826044 0.6
"979" 82 -0.331909512978092 0.7
"980" 82 -0.37115843213014 0.8
"981" 82 -0.410407351282187 0.9
"982" 82 -0.449656270434235 1
"984" 82 -0.52815410873833 1.2
"989" 83 -0.495431300034647 0.5
"990" 83 -0.540267944365795 0.6
"991" 83 -0.585104588696943 0.7
"992" 83 -0.629941233028091 0.8
"994" 83 -0.719614521690387 1
"995" 83 -0.764451166021535 1.1
"997" 84 0.123806862971617 0.1
"998" 84 0.086905310406628 0.2
"999" 84 0.050003757841639 0.3
"1000" 84 0.01310220527665 0.4
"1001" 84 -0.0237993472883389 0.5
"1004" 84 -0.134504004983306 0.8
"1007" 84 -0.245208662678273 1.1
"1008" 84 -0.282110215243262 1.2
"1010" 85 -0.0639086306970823 0.2
"1012" 85 -0.109446388925442 0.4
"1014" 85 -0.154984147153802 0.6
"1019" 85 -0.268828542724701 1.1
"1020" 85 -0.29159742183888 1.2
"1022" 86 -0.183694782648346 0.2
"1023" 86 -0.214556462658025 0.3
"1027" 86 -0.338003182696744 0.7
"1028" 86 -0.368864862706424 0.8
"1032" 86 -0.492311582745143 1.2
"1033" 87 0.186778774804019 0.1
"1034" 87 0.195973318186093 0.2
"1035" 87 0.205167861568168 0.3
"1036" 87 0.214362404950243 0.4
"1037" 87 0.223556948332318 0.5
"1038" 87 0.232751491714392 0.6
"1040" 87 0.251140578478542 0.8
"1041" 87 0.260335121860617 0.9
"1042" 87 0.269529665242691 1
"1046" 88 -0.0754568897070278 0.2
"1048" 88 -0.115609392750262 0.4
"1049" 88 -0.135685644271879 0.5
"1050" 88 -0.155761895793496 0.6
"1054" 88 -0.236066901879964 1
"1057" 89 0.0459276960967366 0.1
"1059" 89 0.000223878962428412 0.3
"1060" 89 -0.0226280296047257 0.4
"1062" 89 -0.0683318467390338 0.6
"1064" 89 -0.114035663873342 0.8
"1065" 89 -0.136887572440496 0.9
"1067" 89 -0.182591389574804 1.1
"1068" 89 -0.205443298141958 1.2
"1070" 90 -0.295773926816739 0.2
"1071" 90 -0.32883264612654 0.3
"1073" 90 -0.394950084746142 0.5
"1074" 90 -0.428008804055943 0.6
"1075" 90 -0.461067523365744 0.7
"1076" 90 -0.494126242675545 0.8
"1077" 90 -0.527184961985346 0.9
"1078" 90 -0.560243681295147 1
"1079" 90 -0.593302400604948 1.1
"1083" 91 0.186458300593839 0.3
"1084" 91 0.171031364684009 0.4
"1087" 91 0.124750556954519 0.7
"1088" 91 0.109323621044689 0.8
"1091" 91 0.0630428133151986 1.1
"1092" 91 0.0476158774053685 1.2
"1094" 92 -0.0528990006113694 0.2
"1095" 92 -0.0820496678625171 0.3
"1096" 92 -0.111200335113665 0.4
"1097" 92 -0.140351002364812 0.5
"1098" 92 -0.16950166961596 0.6
"1099" 92 -0.198652336867108 0.7
"1105" 93 -0.109012775167127 0.1
"1107" 93 -0.182681096672785 0.3
"1110" 93 -0.293183578931271 0.6
"1112" 93 -0.366851900436929 0.8
"1113" 93 -0.403686061189758 0.9
"1114" 93 -0.440520221942586 1
"1115" 93 -0.477354382695415 1.1
"1118" 94 0.0285571797454459 0.2
"1120" 94 -0.0226192128239535 0.4
"1122" 94 -0.0737956053933529 0.6
"1123" 94 -0.0993838016780526 0.7
"1125" 94 -0.150560194247452 0.9
"1127" 94 -0.201736586816851 1.1
"1129" 95 0.110417071975473 0.1
"1133" 95 0.014516940455578 0.5
"1134" 95 -0.00945809242439571 0.6
"1135" 95 -0.0334331253043694 0.7
"1136" 95 -0.0574081581843431 0.8
"1137" 95 -0.0813831910643167 0.9
"1138" 95 -0.10535822394429 1
"1139" 95 -0.129333256824264 1.1
"1140" 95 -0.153308289704238 1.2
"1141" 96 0.102356609080657 0.1
"1144" 96 0.0419519582141238 0.4
"1146" 96 0.00168219096976849 0.6
"1147" 96 -0.0184526926524092 0.7
"1150" 96 -0.0788573435189422 1
"1151" 96 -0.0989922271411199 1.1
"1152" 96 -0.119127110763298 1.2
"1154" 97 -0.191524272829101 0.2
"1155" 97 -0.22243118097672 0.3
"1156" 97 -0.253338089124339 0.4
"1158" 97 -0.315151905419576 0.6
"1159" 97 -0.346058813567194 0.7
"1160" 97 -0.376965721714813 0.8
"1161" 97 -0.407872629862432 0.9
"1162" 97 -0.43877953801005 1
"1163" 97 -0.469686446157669 1.1
"1164" 97 -0.500593354305288 1.2
"1166" 98 -0.354159475888191 0.2
"1169" 98 -0.491737000059369 0.5
"1170" 98 -0.537596174783095 0.6
"1171" 98 -0.583455349506821 0.7
"1172" 98 -0.629314524230547 0.8
"1175" 98 -0.766892048401726 1.1
"1176" 98 -0.812751223125451 1.2
"1182" 99 -0.28992726100447 0.6
"1183" 99 -0.328052329074376 0.7
"1185" 99 -0.404302465214189 0.9
"1189" 100 -0.0637404118947657 0.1
"1190" 100 -0.095048228012391 0.2
"1191" 100 -0.126356044130016 0.3
"1192" 100 -0.157663860247642 0.4
"1193" 100 -0.188971676365267 0.5
"1195" 100 -0.251587308600518 0.7
"1196" 100 -0.282895124718143 0.8
"1197" 100 -0.314202940835769 0.9
"1200" 100 -0.408126389188645 1.2
"1204" 101 0.0811777954655183 0.4
"1205" 101 0.0725948985383348 0.5
"1208" 101 0.0468462077567842 0.8
"1213" 102 -0.0835752668499545 0.1
"1214" 102 -0.121910488726013 0.2
"1215" 102 -0.160245710602072 0.3
"1216" 102 -0.198580932478131 0.4
"1218" 102 -0.275251376230249 0.6
"1220" 102 -0.351921819982366 0.8
"1221" 102 -0.390257041858425 0.9
"1223" 102 -0.466927485610543 1.1
"1224" 102 -0.505262707486602 1.2
"1225" 103 0.0987468136504561 0.1
"1227" 103 0.0644752511809108 0.3
"1228" 103 0.0473394699461382 0.4
"1229" 103 0.0302036887113656 0.5
"1230" 103 0.0130679074765929 0.6
"1232" 103 -0.0212036549929523 0.8
"1233" 103 -0.038339436227725 0.9
"1234" 103 -0.0554752174624976 1
"1237" 104 0.0190891375331067 0.1
"1238" 104 -0.00584853281662656 0.2
"1239" 104 -0.0307862031663598 0.3
"1240" 104 -0.055723873516093 0.4
"1242" 104 -0.105599214215559 0.6
"1243" 104 -0.130536884565293 0.7
"1244" 104 -0.155474554915026 0.8
"1245" 104 -0.180412225264759 0.9
"1247" 104 -0.230287565964226 1.1
"1248" 104 -0.255225236313959 1.2
"1250" 105 0.0767228146698348 0.2
"1251" 105 0.0575255767726746 0.3
"1252" 105 0.0383283388755143 0.4
"1253" 105 0.019131100978354 0.5
"1254" 105 -6.61369188062616e-05 0.6
"1255" 105 -0.0192633748159665 0.7
"1256" 105 -0.0384606127131269 0.8
"1257" 105 -0.0576578506102871 0.9
"1259" 105 -0.0960523264046077 1.1
"1261" 106 0.323176279598249 0.1
"1262" 106 0.313633327855327 0.2
"1263" 106 0.304090376112404 0.3
"1264" 106 0.294547424369482 0.4
"1265" 106 0.28500447262656 0.5
"1266" 106 0.275461520883637 0.6
"1267" 106 0.265918569140715 0.7
"1268" 106 0.256375617397793 0.8
"1271" 106 0.227746762169026 1.1
"1272" 106 0.218203810426103 1.2
"1273" 107 0.141169804517001 0.1
"1274" 107 0.125069826223042 0.2
"1275" 107 0.108969847929084 0.3
"1278" 107 0.0606699130472086 0.6
"1279" 107 0.0445699347532502 0.7
"1281" 107 0.0123699781653333 0.9
"1282" 107 -0.0037300001286252 1
"1284" 107 -0.0359299567165421 1.2
"1286" 108 -0.224321990963233 0.2
"1287" 108 -0.245117955161033 0.3
"1289" 108 -0.286709883556632 0.5
"1290" 108 -0.307505847754432 0.6
"1294" 108 -0.390689704545631 1
"1295" 108 -0.411485668743431 1.1
"1296" 108 -0.432281632941231 1.2
"1297" 109 0.093060695258879 0.1
"1300" 109 0.044173525861789 0.4
"1301" 109 0.0278778027294257 0.5
"1302" 109 0.0115820795970624 0.6
"1304" 109 -0.0210093666676643 0.8
"1306" 109 -0.0536008129323909 1
"1308" 109 -0.0861922591971176 1.2
"1310" 110 -0.0698714033131256 0.2
"1311" 110 -0.100420574580246 0.3
"1312" 110 -0.130969745847367 0.4
"1315" 110 -0.222617259648728 0.7
"1316" 110 -0.253166430915849 0.8
"1317" 110 -0.283715602182969 0.9
"1318" 110 -0.31426477345009 1
"1319" 110 -0.34481394471721 1.1
"1321" 111 -0.0913409652896608 0.1
"1322" 111 -0.13310488447262 0.2
"1323" 111 -0.174868803655579 0.3
"1325" 111 -0.258396642021497 0.5
"1328" 111 -0.383688399570375 0.8
"1329" 111 -0.425452318753334 0.9
"1330" 111 -0.467216237936293 1
"1331" 111 -0.508980157119252 1.1
